会う,만나다
開く,열다
上がる,오르다 올라가다
明るい,밝다
朝,아침
足,발 다리
新しい,새롭다
暑い,덥다
頭,머리
後,뒤 나중
集める,모으다
危ない,위험하다
雨,비
甘い,달다
歩く,걷다
言う,말하다
行く,가다
忙しい,바쁘다
痛い,아프다
一緒に,함께
今,지금
意味,의미
入り口,입구
色,색깔
上手,잘하다 능숙하다
歌,노래
売る,팔다
海,바다
絵,그림
駅,역
円,엔
親,부모
多い,많다
大きい,크다
お金,돈
置く,두다 놓다
遅い,늦다 느리다
お茶,차
お腹,배
同じ,같다
覚える,외우다 기억하다
泳ぐ,헤엄치다
降りる,내리다
音,소리
女,여자
会社,회사
買う,사다
顔,얼굴
返す,돌려주다
帰る,돌아가다
書く,쓰다
学校,학교
学生,학생
風,바람
家,집
聞く,듣다 묻다
北,북쪽
着る,입다
昨日,어제
今日,오늘
兄,형 오빠
姉,누나 언니
九,아홉
牛肉,소고기
魚,물고기
銀行,은행
金曜日,금요일
薬,약
口,입
国,나라
今年,올해
答える,대답하다
子ども,아이
午前,오전
午後,오후
細い,가늘다 날씬하다
困る,곤란하다
今週,이번 주
昨年,작년
財布,지갑
寒い,춥다
三日,사흘 3일
試験,시험
時間,시간
自転車,자전거
自動車,자동차
辞書,사전
質問,질문
写真,사진
週末,주말
授業,수업
食事,식사
食堂,식당
丈夫,건강하다 튼튼하다
親切,친절하다
新聞,신문
水曜日,수요일
数える,세다
少ない,적다
掃除する,청소하다
